"estacao","estacao.nome","cidade","estado","regiao","situacao","latitude","longitude","altitude"
"A422","ABROLHOS","ABROLHOS","BA","Nordeste","Pane",-17.96305555,-38.70333333,20.93
"A360","ACARAU","ACARAU","CE","Nordeste","Pane",-3.1211111,-40.08722221,67.15
"A657","AFONSO CLAUDIO","AFONSO CLAUDIO","ES","Sudeste","Operante",-20.10416666,-41.10694444,507.48
"A908","AGUA BOA","AGUA BOA","MT","Centro-oeste","Operante",-14.01638888,-52.21166666,440
"A756","AGUA CLARA","AGUA CLARA","MS","Centro-oeste","Operante",-20.44444444,-52.87583332,323.63
"A045","AGUAS EMENDADAS","AGUAS EMENDADAS","DF","Centro-oeste","Operante",-15.596491,-47.625801,1030.36
"A549","AGUAS VERMELHAS","AGUAS VERMELHAS","MG","Sudeste","Operante",-15.75166666,-41.45777777,754.07
"A534","AIMORES","AIMORES","MG","Sudeste","Operante",-19.53277777,-41.09083333,301
"A617","ALEGRE","ALEGRE","ES","Sudeste","Operante",-20.75055555,-41.48888888,138
"A826","ALEGRETE","ALEGRETE","RS","Sul","Operante",-29.70916666,-55.52555554,120.88
"A615","ALFREDO CHAVES","ALFREDO CHAVES","ES","Sudeste","Operante",-20.63638888,-40.74194444,14.19
"A053","ALMAS","ALMAS","TO","Norte","Operante",-11.28416666,-47.21222222,503
"A508","ALMENARA","ALMENARA","MG","Sudeste","Operante",-16.16666666,-40.68777777,189.11
"A924","ALTA FLORESTA","ALTA FLORESTA","MT","Centro-oeste","Operante",-10.07722221,-56.17916666,291.85
"A253","ALTAMIRA","ALTAMIRA","PA","Norte","Operante",-3.26999999,-52.39472221,191
"A909","ALTO ARAGUAIA","ALTO ARAGUAIA","MT","Centro-oeste","Operante",-17.33944444,-53.22444443,753.28
"A024","ALTO PARAISO DE GOIAS","ALTO PARAISO DE GOIAS","GO","Centro-oeste","Operante",-14.13305554,-47.52333332,1264.7
"A223","ALTO PARNAIBA","ALTO PARNAIBA","MA","Nordeste","Operante",-9.10833333,-45.93194443,283.69
"A934","ALTO TAQUARI","ALTO TAQUARI","MT","Centro-oeste","Operante",-17.8411111,-53.28944444,862.42
"A336","ALVORADA DO GURGUEIA","ALVORADA DO GURGUEIA","PI","Nordeste","Operante",-8.37638888,-43.85944444,225
"A750","AMAMBAI","AMAMBAI","MS","Centro-oeste","Operante",-23.0025,-55.32944443,433.59
"A434","AMARGOSA","AMARGOSA","BA","Nordeste","Operante",-13.00944444,-39.61694443,397.8
"A377","ANGICAL DO PIAUI","ANGICAL DO PIAUI","PI","Nordeste","Pane",-6.08944444,-42.72749999,183
"A628","ANGRA DOS REIS","ANGRA DOS REIS","RJ","Sudeste","Pane",-22.97555554,-44.30333333,6
"A910","APIACAS","APIACAS","MT","Centro-oeste","Pane",-9.56333333,-57.3936111,217.75
"A340","APODI","APODI","RN","Nordeste","Pane",-5.62666666,-37.815,131.41
"A113","APUI","APUI","AM","Norte","Operante",-7.20555555,-59.8886111,156.97
"A719","AQUIDAUANA","AQUIDAUANA","MS","Centro-oeste","Operante",-20.47555554,-55.78388888,151.35
"A409","ARACAJU","ARACAJU","SE","Nordeste","Operante",-10.9525,-37.05444444,3.72
"A566","ARACUAI","ARACUAI","MG","Sudeste","Operante",-16.84888888,-42.03527777,308
"A013","ARAGARCAS","ARAGARCAS","GO","Centro-oeste","Operante",-15.90277777,-52.24527777,327.35
"A054","ARAGUACU","ARAGUACU","TO","Norte","Operante",-12.59222221,-49.5286111,231
"A021","ARAGUAINA","ARAGUAINA","TO","Norte","Operante",-7.10388888,-48.20111111,230.76
"A044","ARAGUATINS","ARAGUATINS","TO","Norte","Operante",-5.6436111,-48.11194444,130.71
"A353","ARAPIRACA","ARAPIRACA","AL","Nordeste","Operante",-9.80444444,-36.61916666,236.84
"A867","ARARANGUA","ARARANGUA","SC","Sul","Operante",-28.931353,-49.49792,2
"A505","ARAXA","ARAXA","MG","Sudeste","Operante",-19.60583333,-46.94972221,1018.32
"A309","ARCO VERDE","ARCO VERDE","PE","Nordeste","Operante",-8.4336111,-37.05555555,683.95
"A310","AREIA","AREIA","PB","Nordeste","Operante",-6.975451,-35.718128,573.45
"A940","ARIQUEMES","ARIQUEMES","RO","Norte","Pane",-9.94888888,-62.96194444,128.44
"A736","ARIRANHA","ARIRANHA","SP","Sudeste","Operante",-21.13305554,-48.84055555,525.44
"A606","ARRAIAL DO CABO","ARRAIAL DO CABO","RJ","Sudeste","Operante",-22.97527777,-42.02138888,5
"A120","AUTAZES","AUTAZES","AM","Norte","Pane",-3.58333333,-59.12944443,19.9
"A725","AVARE","AVARE","SP","Sudeste","Operante",-23.10166666,-48.9411111,776.36
"A220","BACABAL","BACABAL","MA","Nordeste","Operante",-4.24305555,-44.79499999,22.33
"A827","BAGE","BAGE","RS","Sul","Operante",-31.34777777,-54.01333333,226.19
"A375","BAIXA GRANDE DO RIBEIRO","BAIXA GRANDE DO RIBEIRO","PI","Nordeste","Operante",-8.333531,-45.094625,519
"A204","BALSAS","BALSAS","MA","Nordeste","Pane",-7.45555555,-46.02749999,271.03
"A565","BAMBUI","BAMBUI","MG","Sudeste","Pane",-20.0311111,-46.00888888,697
"A502","BARBACENA","BARBACENA","MG","Sudeste","Operante",-21.22833332,-43.76777777,1168.76
"A315","BARBALHA","BARBALHA","CE","Nordeste","Pane",-7.30083333,-39.2711111,409.41
"A128","BARCELOS","BARCELOS","AM","Norte","Operante",-0.98722221,-62.92416666,29.88
"A429","BARRA","BARRA","BA","Nordeste","Operante",-11.08472221,-43.13888888,407.5
"A741","BARRA BONITA","BARRA BONITA","SP","Sudeste","Operante",-22.4711111,-48.5575,533.68
"A221","BARRA DO CORDA","BARRA DO CORDA","MA","Nordeste","Pane",-5.50666666,-45.23694444,154.19
"A746","BARRA DO TURVO","BARRA DO TURVO","SP","Sudeste","Operante",-24.96277777,-48.41638888,659.89
"A402","BARREIRAS","BARREIRAS","BA","Nordeste","Operante",-12.12472221,-45.02694443,474.17
"A748","BARRETOS","BARRETOS","SP","Sudeste","Pane",-20.55916666,-48.54499999,534.36
"A755","BARUERI","BARUERI","SP","Sudeste","Operante",-23.52388888,-46.86944443,776.5
"A759","BATAGUASSU","BATAGUASSU","MS","Centro-oeste","Operante",-21.75,-52.47138888,392.13
"A705","BAURU","BAURU","SP","Sudeste","Operante",-22.35805555,-49.02888888,636.17
"A764","BEBEDOURO","BEBEDOURO","SP","Sudeste","Operante",-20.94805555,-48.47138888,542
"A201","BELEM","BELEM","PA","Norte","Operante",-1.411228,-48.439512,21.17
"A447","BELMONTE","BELMONTE","BA","Nordeste","Operante",-16.08805555,-39.21527777,89.67
"A521","BELO HORIZONTE (PAMPULHA)","BELO HORIZONTE","MG","Sudeste","Operante",-19.88388888,-43.96944443,854.02
"F501","BELO HORIZONTE - CERCADINHO"," CERCADINHO","MG","Sudeste","Operante",-19.97999999,-43.95861111,1199.55
"A840","BENTO GONCALVES","BENTO GONCALVES","RS","Sul","Operante",-29.164581,-51.534202,623.27
"A765","BERTIOGA","BERTIOGA","SP","Sudeste","Operante",-23.84472221,-46.14333333,5
"A135","BOA VISTA","BOA VISTA","RR","Norte","Operante",2.81694443,-60.69083333,82.35
"A110","BOCA DO ACRE","BOCA DO ACRE","AM","Norte","Operante",-8.77666666,-67.33249999,111.98
"A845","BOM JARDIM DA SERRA - MORRO DA IGREJA"," MORRO DA IGREJA","SC","Sul","Operante",-28.12694443,-49.47972221,1790.38
"A418","BOM JESUS DA LAPA","BOM JESUS DA LAPA","BA","Nordeste","Pane",-13.25111111,-43.40527777,447.75
"A326","BOM JESUS DO PIAUI","BOM JESUS DO PIAUI","PI","Nordeste","Operante",-9.07999999,-44.32777777,288
"A226","BRAGANCA","BRAGANCA","PA","Norte","Operante",-1.05583333,-46.78277777,5.6
"A744","BRAGANCA PAULISTA","BRAGANCA PAULISTA","SP","Sudeste","Operante",-22.94916666,-46.5261111,891
"A001","BRASILIA","BRASILIA","DF","Centro-oeste","Operante",-15.78944444,-47.92583332,1160.96
"A927","BRASNORTE (NOVO MUNDO)","BRASNORTE","MT","Centro-oeste","Operante",-12.52194443,-58.23138888,426.2
"A042","BRAZLANDIA","BRAZLANDIA","DF","Centro-oeste","Operante",-15.59972221,-48.1311111,1143
"A421","BREJO GRANDE","BREJO GRANDE","SE","Nordeste","Operante",-10.47388888,-36.48194443,6.11
"A228","BREVES","BREVES","PA","Norte","Pane",-1.68027777,-50.47805554,11
